Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT4G27320,ATPHOS34,1.28,DOWN,18.66,0.7796,universal stress protein (USP) family pr
AT4G27380,,2.60,DOWN,15.55,0.3681,uncharacterized protein
AT4G27390,,5.67,UP,6.85,0.4283,uncharacterized protein
AT4G27410,RD26,2.49,UP,8.35,0.3662,NAC domain-containing protein 72
AT4G27430,CIP7,4.78,UP,6.00,0.0194,COP1-interacting protein 7
AT4G27440,PORB,1.20,DOWN,160.25,0.1700,protochlorophyllide reductase B
AT4G27450,,2.00,DOWN,23.01,0.1793,aluminum induced protein with YGL and LRDR motifs
AT4G27470,RMA3,1.39,UP,13.31,0.7423,E3 ubiquitin-protein ligase RMA3
AT4G27500,PPI1,2.67,UP,16.20,0.0038,proton pump interactor 1
AT4G27520,ENODL2,2.11,DOWN,99.31,0.0009,early nodulin-like protein 2
AT4G27600,NARA5,2.12,DOWN,25.34,0.0333,pfkB-like carbohydrate kinase family protein
AT4G27652,,1.72,DOWN,14.29,0.6484,uncharacterized protein
AT4G27700,,1.40,UP,19.63,0.6062,rhodanese-like domain-containing protein
AT4G27720,,1.05,UP,15.18,1,major facilitator protein
AT4G27740,,2.73,UP,11.10,0.5254,yippee-like protein
AT4G27750,ISI1,1.59,DOWN,9.07,0.7719,impaired sucrose induction 1 protein
AT4G27760,FEY,2.39,DOWN,7.97,0.2408,Rossmann-fold NAD(P)-binding domain-containing protein
AT4G27800,TAP38,1.56,UP,46.87,0.0940,protein phosphatase 2C 57
AT4G27830,BGLU10,3.09,UP,7.60,0.1805,beta glucosidase 10
AT4G27870,,1.65,UP,9.86,0.2033,vacuolar iron transporter-like protein
AT4G27880,,1.11,DOWN,7.43,1,E3 ubiquitin-protein ligase SINAT4
AT4G27960,UBC9,1.32,DOWN,54.00,0.4552,SUMO-conjugating enzyme UBC9
AT4G27990,YLMG1-2,1.02,DOWN,38.91,1,YGGT family protein
AT4G28025,,1.47,DOWN,61.68,0.2859,uncharacterized protein
AT4G28030,,1.57,DOWN,44.67,0.2064,GCN5-related N-acetyltransferase (GNAT) family protein
AT4G28050,TET7,2.01,DOWN,8.39,0.3969,tetraspanin7
AT4G28060,,1.22,DOWN,89.97,0.6911,cytochrome c oxidase; subunit 6b
AT4G28080,,5.15,UP,15.55,0.0009,tetratricopeptide repeat domain protein
AT4G28100,,1.02,UP,5.41,1,uncharacterized protein
AT4G28180,,1.12,DOWN,5.71,1,uncharacterized protein
AT4G28210,emb1923,1.79,DOWN,11.99,0.3790,embryo defective 1923 protein
AT4G28240,,1.42,UP,35.20,0.4834,putative wound-responsive protein
AT4G28250,ATEXPB3,1.63,DOWN,21.67,0.1722,expansin B3
AT4G28260,,1.31,UP,9.20,0.7025,uncharacterized protein
AT4G28270,RMA2,2.70,UP,10.41,0.4430,E3 ubiquitin-protein ligase RMA2
AT4G28300,,1.09,DOWN,10.68,1,uncharacterized protein
AT4G28360,,1.88,UP,8.84,0.4061,Ribosomal protein L22p/L17e family protein
AT4G28440,,1.94,DOWN,12.06,0.3835,OB-fold nucleic acid binding domain-containing protein
AT4G28480,,1.66,UP,9.48,0.4244,DNAJ heat shock protein
AT4G28510,ATPHB1,3.15,DOWN,6.01,0.2102,prohibitin 1
AT4G28660,PSB28,2.28,DOWN,122.35,0.0009,photosystem II reaction center PSB28 protein
AT4G28706,,1.74,UP,6.85,0.5281,pfkB-like carbohydrate kinase family protein
AT4G28750,PSAE-1,1.44,DOWN,826.05,0.0009,photosystem I reaction center subunit IV A
AT4G28770,,1.37,UP,14.74,0.7452,Tetraspanin family protein
AT4G28780,,1.05,DOWN,8.95,1,GDSL esterase/lipase
AT4G28830,,1.38,DOWN,16.16,0.8489,putative methylase
AT4G28880,ckl3,1.68,UP,16.20,0.1799,protein casein kinase I-like 3
AT4G28910,NINJA,1.24,DOWN,7.51,0.8718,AFP-like protein 2
AT4G29010,AIM1,1.67,UP,10.60,0.1646,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase
AT4G29020,,2.77,DOWN,460.00,0.0009,glycine-rich protein
AT4G29030,,1.48,DOWN,36.21,0.4331,Putative membrane lipoprotein
AT4G29060,emb2726,3.39,UP,44.12,0.0009,elongation factor Ts family protein
AT4G29070,,1.04,DOWN,14.85,1,Phospholipase A2 family protein
AT4G29100,,1.63,DOWN,10.30,0.4088,transcription factor bHLH68
AT4G29120,,1.22,DOWN,12.04,1,3-hydroxyisobutyrate dehydrogenase
AT4G29130,ATHXK1,1.51,UP,11.87,0.4765,hexokinase 1
AT4G29140,,4.57,DOWN,8.14,0.1369,mate efflux domain-containing protein
AT4G29160,SNF7.1,1.05,UP,21.39,1,vacuolar protein sorting-associated protein 32-2
AT4G29190,,1.70,DOWN,9.37,0.4671,zinc finger CCCH domain-containing protein 49
AT4G29260,,1.68,DOWN,17.61,0.3623,HAD superfamily; subfamily IIIB acid phosphatase
AT4G29310,,2.45,DOWN,8.80,0.2109,uncharacterized protein
AT4G29330,DER1,2.59,DOWN,9.06,0.2412,derlin-1
AT4G29350,PFN2,2.20,DOWN,219.74,0.0009,profilin 2
AT4G29390,,1.19,DOWN,145.23,0.6925,40S ribosomal protein S30
AT4G29410,,1.78,UP,36.12,0.1957,60S ribosomal protein L28-2
AT4G29480,,1.72,UP,44.18,0.1980,ATP synthase subunit G protein
AT4G29660,EMB2752,3.66,DOWN,7.08,0.2770,protein embryo defective 2752
AT4G29670,ACHT2,1.00,DOWN,24.86,1,thioredoxin-like 2-2
AT4G29680,,1.32,DOWN,10.47,0.7426,alkaline-phosphatase-like protein
AT4G29700,,1.02,UP,8.82,1,alkaline-phosphatase-like protein
AT4G29720,ATPAO5,1.78,DOWN,7.46,0.4250,putative polyamine oxidase 5
AT4G29735,,1.40,DOWN,49.09,0.5733,uncharacterized protein
AT4G29810,MK1,5.79,UP,7.25,0.1934,mitogen-activated protein kinase kinase 2
AT4G29830,VIP3,2.24,UP,8.77,0.2957,WD repeat-containing protein 61
AT4G29840,MTO2,1.08,DOWN,17.51,1,threonine synthase 1
AT4G29870,,1.92,DOWN,25.82,0.3915,Oligosaccharyltransferase complex/magnesium transporter family protein
AT4G29900,ACA10,2.59,UP,4.95,0.0612,Ca2+-transporting ATPase
AT4G29905,,2.90,DOWN,140.68,0.0009,uncharacterized protein
AT4G30010,,2.40,DOWN,113.45,0.0045,uncharacterized protein
AT4G30020,,1.16,DOWN,6.70,0.9288,PA-domain containing subtilase family protein
AT4G30140,CDEF1,2.92,UP,26.12,0.0121,GDSL esterase/lipase
AT4G30190,PMA2,1.20,DOWN,85.58,0.0937,H(+)-ATPase 2
AT4G30210,ATR2,1.56,DOWN,18.15,0.1458,NADPH-ferrihemoprotein reductase
AT4G30220,RUXF,4.31,DOWN,86.28,0.0116,small nuclear ribonucleoprotein F
AT4G30260,,1.04,DOWN,10.69,1,Yip1 integral membrane domain-containing protein
AT4G30270,MERI5B,1.23,UP,33.07,0.7121,xyloglucan:xyloglucosyl transferase
AT4G30290,ATXTH19,1.30,UP,14.38,0.8608,xyloglucan:xyloglucosyl transferase
AT4G30440,GAE1,2.74,DOWN,39.52,0.0009,UDP-D-glucuronate 4-epimerase 1
AT4G30450,,2.62,DOWN,27.78,0.2397,glycine-rich protein
AT4G30460,,2.22,DOWN,49.40,0.0312,glycine-rich protein
AT4G30470,,1.26,DOWN,12.75,0.9103,Rossmann-fold NAD(P)-binding domain-containing protein
AT4G30530,,1.25,UP,34.00,0.6544,class I glutamine amidotransferase domain-containing protein
AT4G30550,,2.72,UP,9.16,0.3358,class I glutamine amidotransferase domain-containing protein
AT4G30600,,2.28,UP,14.38,0.0315,signal recognition particle receptor subunit alpha
AT4G30620,,2.63,UP,6.20,0.7339,uncharacterized protein
AT4G30650,,2.53,DOWN,111.99,0.0230,putative low temperature and salt responsive protein
AT4G30660,,1.63,DOWN,92.99,0.4307,putative low temperature and salt responsive protein
AT4G30662,,10.22,DOWN,7.25,0.5488,uncharacterized protein
AT4G30670,,4.58,DOWN,40.04,0.0870,Putative membrane lipoprotein
AT4G30690,,1.38,UP,19.18,0.6679,translation initiation factor IF-3
AT4G30760,,1.52,DOWN,34.90,0.4644,Putative endonuclease or glycosyl hydrolase
AT4G30810,scpl29,2.25,UP,7.52,0.2911,carboxypeptidase D
AT4G30845,,1.61,UP,13.23,0.8603,uncharacterized protein
AT4G30850,HHP2,2.58,DOWN,5.58,0.2113,heptahelical transmembrane protein2
AT4G30910,,3.43,DOWN,10.52,0.0911,leucine aminopeptidase 2
AT4G30920,,1.56,DOWN,21.38,0.1986,leucine aminopeptidase 3
AT4G30950,FADC,1.20,DOWN,64.32,0.4342,omega-6 fatty acid desaturase
AT4G30960,CIPK6,1.57,DOWN,86.86,0.0017,CBL-interacting serine/threonine-protein kinase 6
AT4G30993,,1.00,UP,29.63,1,metallophosphatase domain-containing protein
AT4G30996,,3.13,DOWN,33.40,0.0801,uncharacterized protein
AT4G31040,,1.30,UP,11.45,1,CemA-like proton extrusion protein-like protein
AT4G31080,,1.63,UP,7.14,0.4819,uncharacterized protein
AT4G31130,,1.82,DOWN,9.26,0.5469,uncharacterized protein
AT4G31170,,1.05,DOWN,8.31,1,protein kinase family protein
AT4G31180,,1.27,DOWN,18.44,0.5871,aspartyl-tRNA synthetase
AT4G31290,,1.12,DOWN,21.25,1,chaC-like protein
AT4G31300,PBA1,1.65,DOWN,33.05,0.1419,proteasome subunit beta type-6
AT4G31310,,3.45,UP,13.42,0.3345,AIG2-like protein
AT4G31340,,1.21,UP,9.59,0.9046,myosin heavy chain-related protein
AT4G31390,,2.45,UP,9.98,0.0844,uncharacterized aarF domain-containing protein kinase
AT4G31480,,1.06,UP,10.16,1,coatomer subunit beta-1
AT4G31490,,2.21,UP,4.94,0.1476,coatomer subunit beta-2
AT4G31500,CYP83B1,1.11,DOWN,33.05,0.9283,cytochrome P450 83B1
AT4G31510,,1.82,DOWN,8.94,0.7683,uncharacterized protein
AT4G31530,,1.43,DOWN,16.36,0.5526,Rossmann-fold NAD(P)-binding domain-containing protein
AT4G31560,HCF153,1.14,DOWN,29.19,1,high chlorophyll fluorescence 153 protein
AT4G31580,SRZ-22,1.89,DOWN,14.99,0.2956,protein serine/arginine-rich 22
AT4G31720,STG1,1.61,DOWN,20.89,0.4647,TBP-associated factor II 15
AT4G31780,MGD1,1.64,UP,14.74,0.1805,Monogalactosyldiacylglycerol synthase 1
AT4G31790,,3.48,DOWN,4.01,0.3905,diphthine synthase
AT4G31820,ENP,2.16,UP,8.15,0.1291,Phototropic-responsive NPH3 family protein
AT4G31840,ENODL15,1.20,DOWN,12.42,1,early nodulin-like protein 15
AT4G31860,,3.73,UP,7.66,0.1370,putative protein phosphatase 2C 60
AT4G31910,,1.79,UP,7.92,0.4485,HXXXD-type acyl-transferase-like protein
AT4G31985,,2.24,DOWN,1267.09,0.0009,60S ribosomal protein L39-1
AT4G31990,AAT3,1.18,UP,39.45,0.5657,aspartate aminotransferase
AT4G32020,,2.03,DOWN,73.30,0.0009,uncharacterized protein
AT4G32030,,1.23,UP,12.61,0.9467,uncharacterized protein
AT4G32040,KNAT5,1.40,DOWN,7.69,0.7253,homeobox protein knotted-1-like 5
AT4G32060,,1.23,UP,13.53,0.7495,EF-hand; calcium binding motif-containing protein
AT4G32070,Phox4,1.63,UP,7.48,0.3359,octicosapeptide/Phox/Bem1p and tetratricopeptide repeat domain-containing protein
AT4G32130,,1.19,DOWN,18.32,0.9749,uncharacterized protein
AT4G32150,VAMP711,2.75,DOWN,45.05,0.0009,vesicle-associated membrane protein 711
AT4G32240,,1.23,UP,33.70,0.9191,uncharacterized protein
AT4G32260,,1.71,DOWN,419.63,0.0009,F-type H+-transporting ATPase subunit b
AT4G32285,,1.00,DOWN,15.07,1,putative clathrin assembly protein
AT4G32330,,3.54,UP,6.35,0.1949,TPX2 (targeting protein for Xklp2) protein family
AT4G32340,,1.57,DOWN,64.48,0.1192,tetratricopeptide repeat domain-containing protein-like protein
AT4G32390,,1.43,DOWN,26.21,0.3838,Nucleotide-sugar transporter family protein
AT4G32400,ATBT1,5.07,UP,5.54,0.3969,Mitochondrial substrate carrier family protein
AT4G32410,CESA1,1.02,UP,31.92,1,cellulose synthase A catalytic subunit 1
AT4G32460,,1.22,UP,19.25,0.8162,uncharacterized protein
AT4G32470,,1.16,UP,72.27,0.7796,ubiquinol-cytochrome c reductase subunit 7
AT4G32520,SHM3,1.07,UP,7.67,1,serine hydroxymethyltransferase 3
AT4G32530,,1.40,UP,36.49,0.3382,ATPase; F0/V0 complex; subunit C protein
AT4G32551,LUG,3.77,UP,5.79,0.0264,transcriptional corepressor LEUNIG
AT4G32570,TIFY8,2.09,DOWN,14.72,0.1327,protein TIFY 8
AT4G32590,,1.29,DOWN,39.61,0.7276,2Fe-2S iron-sulfur cluster binding domain-containing protein
AT4G32600,,1.38,DOWN,7.18,0.7403,C3H4 type zinc finger protein
AT4G32610,,3.57,UP,8.27,0.0729,copper ion binding protein
AT4G32680,,3.34,DOWN,8.70,0.1343,uncharacterized protein
AT4G32690,GLB3,2.24,UP,10.18,0.4241,hemoglobin 3
AT4G32720,La1,1.07,DOWN,12.21,1,La protein 1
AT4G32760,,1.17,UP,9.50,0.8608,ENTH/VHS/GAT family protein
AT4G32770,VTE1,1.49,DOWN,9.96,0.5239,tocopherol cyclase
AT4G32850,nPAP,1.32,UP,9.63,0.6559,nuclear poly(a) polymerase
AT4G32915,,1.41,DOWN,17.73,0.8197,uncharacterized protein
AT4G32930,,2.50,DOWN,28.48,0.2061,uncharacterized protein
AT4G32940,GAMMA-VPE,1.38,UP,12.36,0.4475,vacuolar-processing enzyme gamma-isozyme
AT4G33000,ATCBL10,1.15,UP,16.67,1,calcineurin B-like protein 10
AT4G33010,AtGLDP1,1.45,UP,137.33,0.0009,glycine dehydrogenase
AT4G33030,SQD1,1.76,DOWN,24.42,0.0731,UDP-sulfoquinovose synthase
AT4G33080,,3.32,UP,10.56,0.0354,AGC (cAMP-dependent; cGMP-dependent and protein kinase C) kinase family protein
AT4G33090,APM1,1.12,UP,14.70,0.9548,aminopeptidase M1
AT4G33110,,1.83,UP,10.41,0.4241,S-adenosyl-L-methionine-dependent methyltransferase-like protein
AT4G33220,PME44,1.97,DOWN,14.48,0.0908,pectinesterase 44
AT4G33250,EIF3K,1.24,DOWN,38.28,0.6274,translation initiation factor 3 subunit K
AT4G33350,,1.16,UP,13.91,1,Tic22-like protein
AT4G33360,FLDH,1.02,DOWN,9.45,1,Rossmann-fold NAD(P)-binding domain-containing protein
AT4G33380,,1.41,DOWN,22.02,0.3845,uncharacterized protein
AT4G33430,ELG,1.87,DOWN,8.70,0.2033,BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1
AT4G33470,hda14,3.52,UP,5.48,0.2314,histone deacetylase 14
AT4G33510,DHS2,1.24,UP,32.67,0.5321,phospho-2-dehydro-3-deoxyheptonate aldolase 2
AT4G33520,PAA1,1.07,DOWN,30.03,1,putative copper-transporting ATPase PAA1
AT4G33530,KUP5,1.04,DOWN,9.25,1,Potassium transporter 13
AT4G33540,,7.33,UP,17.30,0.0667,metallo-beta-lactamase family protein
AT4G33560,,5.78,DOWN,32.37,0.0940,Wound-responsive family protein
AT4G33580,BCA5,1.08,DOWN,24.80,1,beta carbonic anhydrase 5
AT4G33610,,1.25,DOWN,30.91,0.9026,glycine-rich protein
AT4G33625,,1.44,DOWN,18.16,0.7466,uncharacterized protein
AT4G33640,,1.48,DOWN,50.66,0.4757,uncharacterized protein
AT4G33666,,2.00,DOWN,59.00,0.2494,uncharacterized protein
AT4G33680,AGD2,2.25,UP,17.22,0.0635,LL-diaminopimelate aminotransferase
AT4G33700,,2.86,UP,9.74,0.1353,CBS domain-containing protein
AT4G33740,,3.58,UP,6.25,0.1135,uncharacterized protein
AT4G33760,,1.73,UP,4.11,0.4942,aspartyl-tRNA synthetase
AT4G33780,,1.19,UP,11.95,1,uncharacterized protein
AT4G33865,,3.13,DOWN,1048.48,0.0009,40S ribosomal protein S29
AT4G33940,,1.32,UP,11.05,0.9689,RING/U-box domain-containing protein
AT4G33960,,1.83,DOWN,65.96,0.3305,uncharacterized protein
AT4G34000,ABF3,2.64,UP,7.11,0.1110,abscisic acid-insensitive 5-like protein 6
AT4G34050,CCoAOMT1,1.01,UP,71.42,1,putative caffeoyl-CoA O-methyltransferase
AT4G34090,AT4G34090,1.15,DOWN,9.94,1,putative cyclin delta-3
AT4G34100,,1.39,UP,11.08,0.3547,RING/U-box domain-containing protein
AT4G34110,PAB2,1.14,DOWN,51.30,0.4672,Polyadenylate-binding protein 2
AT4G34120,CDCP1,1.27,DOWN,20.80,0.8673,cystathionine beta-synthase domain-containing protein
AT4G34131,UGT73B3,3.30,UP,6.58,0.3790,UDP-glucosyl transferase 73B3
AT4G34135,UGT73B2,3.10,UP,11.99,0.0635,UDP-glucosyltransferase 73B2
AT4G34138,UGT73B1,1.53,DOWN,11.57,0.3470,UDP-glucosyl transferase 73B1
AT4G34150,,1.28,DOWN,20.66,0.6912,calcium-dependent lipid-binding domain-containing protein
AT4G34160,CYCD3,1.33,UP,9.68,0.7732,cyclin-D3-1
AT4G34180,,1.27,UP,46.46,0.4672,cyclase family protein
AT4G34190,SEP1,1.72,DOWN,190.12,0.0009,stress enhanced protein 1
AT4G34200,EDA9,2.13,DOWN,29.21,0.0017,D-3-phosphoglycerate dehydrogenase
AT4G34215,,5.76,DOWN,17.40,0.0488,uncharacterized protein
AT4G34220,,1.43,UP,6.65,0.5332,receptor protein kinase-like protein
AT4G34230,CAD-5,1.64,DOWN,9.91,0.3733,cinnamyl alcohol dehydrogenase 5
AT4G34240,ALDH3,2.61,UP,7.85,0.1970,aldehyde dehydrogenase 3I1
AT4G34265,,1.05,UP,24.10,1,uncharacterized protein
AT4G34270,,1.05,UP,9.40,1,TIP41-like protein
AT4G34412,,1.51,DOWN,10.99,0.8462,uncharacterized protein
AT4G34450,,1.04,UP,18.78,1,coatomer subunit gamma
AT4G34460,ELK4,1.51,UP,7.79,0.7097,guanine nucleotide-binding protein subunit beta
AT4G34480,,1.24,DOWN,11.39,0.8245,glucan endo-1;3-beta-glucosidase 7
AT4G34490,ATCAP1,1.85,DOWN,9.12,0.3057,cyclase associated protein 1
AT4G34555,,1.17,UP,17.73,1,40S ribosomal protein S25-3
AT4G34588,CPuORF2,1.04,DOWN,10.69,1,uncharacerized protein
AT4G34600,,4.30,DOWN,10.18,0.5914,uncharacterized protein
AT4G34620,SSR16,2.33,DOWN,688.41,0.0009,small subunit ribosomal protein 16
AT4G34630,,1.08,UP,32.00,1,uncharacterized protein
AT4G34640,SQS1,1.21,UP,12.00,0.8999,Squalene synthase
AT4G34670,,1.72,DOWN,107.11,0.0032,40S ribosomal protein S3a-2
AT4G34700,CIB22,1.13,UP,91.44,0.8617,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 9
AT4G34710,ATADC2,2.84,DOWN,90.48,0.0009,arginine decarboxylase 2
AT4G34720,ATVHA-C1,2.16,DOWN,186.25,0.0009,V-type H+-transporting ATPase 16kDa proteolipid subunit
AT4G34730,,1.09,DOWN,19.29,1,ribosome-binding factor A
AT4G34740,ATASE2,1.86,DOWN,22.60,0.0773,amidophosphoribosyltransferase
AT4G34750,,3.99,DOWN,8.30,0.2114,SAUR-like auxin-responsive family protein
AT4G34760,,2.46,DOWN,37.82,0.1381,SAUR-like auxin-responsive protein 9
AT4G34830,MRL1,1.52,UP,7.61,0.2535,pentatricopeptide repeat-containing protein
AT4G34870,ROC5,1.60,DOWN,255.89,0.0009,Peptidyl-prolyl cis-trans isomerase CYP18-4
AT4G34881,,3.72,DOWN,110.88,0.0009,uncharacterized protein
AT4G34920,,1.24,DOWN,17.22,0.7405,1-phosphatidylinositol phosphodiesterase-related protein
AT4G34950,,1.47,DOWN,24.87,0.2065,major facilitator family protein
AT4G34980,SLP2,2.58,DOWN,22.95,0.0009,subtilisin-like serine protease 2
AT4G35000,APX3,1.75,UP,30.42,0.1057,L-ascorbate peroxidase
AT4G35020,ATROP6,2.40,UP,6.57,0.3681,Rac-like GTP-binding protein ARAC3
AT4G35080,,4.01,DOWN,7.20,0.1320,high-affinity nickel-transport family protein
AT4G35090,CAT2,1.22,DOWN,270.82,0.0063,catalase 2
AT4G35100,PIP2,1.92,DOWN,309.19,0.0009,aquaporin PIP2-7
AT4G35230,BSK1,1.94,UP,22.82,0.0351,BR-signaling kinase 1
AT4G35250,,1.06,DOWN,32.47,1,Rossmann-fold NAD(P)-binding domain-containing protein
AT4G35260,IDH1,1.18,DOWN,13.43,0.9143,Isocitrate dehydrogenase
AT4G35300,TMT2,1.20,DOWN,8.28,0.8592,monosaccharide-sensing protein 2
AT4G35310,CPK5,1.19,UP,15.95,0.8201,calmodulin-domain protein kinase 5
AT4G35320,,1.72,DOWN,13.64,0.7181,uncharacterized protein
AT4G35350,XCP1,4.41,DOWN,12.07,0.0913,Xylem cysteine proteinase 1
AT4G35360,,1.22,DOWN,9.19,1,uncharacterized protein
AT4G35410,,1.20,DOWN,7.84,1,AP-1 complex subunit sigma-2
AT4G35450,AFT,1.18,DOWN,63.17,0.6226,ankyrin repeat domain-containing protein 2
AT4G35460,ATNTRB,1.91,DOWN,7.83,0.3495,thioredoxin reductase 1
AT4G35490,MRPL11,1.83,DOWN,28.56,0.2506,mitochondrial ribosomal protein L11
AT4G35630,PSAT,1.02,UP,20.85,1,phosphoserine aminotransferase
AT4G35750,,1.71,DOWN,58.06,0.0531,SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
AT4G35760,,2.51,UP,25.88,0.0270,NAD(P)H dehydrogenase (quinone)s
AT4G35770,DIN1,1.19,UP,19.73,0.9614,senescence-associated protein DIN1
AT4G35785,,2.67,UP,6.76,0.2722,RNA-binding (RRM/RBD/RNP motifs) family protein
AT4G35790,PLDDELTA,1.60,UP,11.25,0.1700,phospholipase D delta
AT4G35800,NRPB1,2.94,UP,6.29,0.0009,DNA-directed RNA polymerase II subunit RPB1
AT4G35830,ACO1,1.18,DOWN,48.75,0.3057,aconitate hydratase 1
AT4G35850,,2.64,UP,6.93,0.1515,pentatricopeptide repeat-containing protein
AT4G35860,ATGB2,1.41,UP,10.21,0.7373,GTP-binding protein GB2
AT4G35890,,1.26,DOWN,12.88,0.6542,winged-helix DNA-binding transcription factor family protein
AT4G35905,,1.44,UP,12.71,1,uncharacterized protein
AT4G35920,MCA1,1.15,UP,7.27,1,PLAC8 domain-containing protein
AT4G35950,ATROP5,1.19,UP,10.49,1,Rac-like GTP-binding protein ARAC6
AT4G36020,CSDP1,1.60,DOWN,30.17,0.1722,cellular nucleic acid-binding protein
AT4G36040,,1.63,DOWN,110.30,0.0091,chaperone protein dnaJ 11
AT4G36130,,1.29,DOWN,67.75,0.3403,60S ribosomal protein L8-3
AT4G36195,,1.47,UP,12.51,0.5056,Serine carboxypeptidase S28 family protein
AT4G36210,,2.36,UP,8.00,0.0960,uncharacterized protein
AT4G36220,CYP84A1,1.34,DOWN,29.58,0.3177,ferulic acid 5-hydroxylase 1
AT4G36250,ALDH3F1,1.35,UP,31.28,0.2723,aldehyde dehydrogenase 3F1
AT4G36360,BGAL3,1.20,DOWN,10.72,0.7421,beta-galactosidase 3
AT4G36390,,1.68,UP,11.04,0.2638,Methylthiotransferase
AT4G36420,,1.12,DOWN,23.13,1,Ribosomal protein L12 family protein
AT4G36440,,1.31,UP,10.50,0.7760,uncharacterized protein
AT4G36500,,3.20,DOWN,33.31,0.0708,uncharacterized protein
AT4G36515,,2.37,DOWN,10.27,0.6553,uncharacterized protein
AT4G36530,,1.49,DOWN,8.91,0.6157,hydrolase; alpha/beta fold family protein
AT4G36540,BEE2,2.36,UP,14.23,0.1085,transcription factor BEE 2
AT4G36648,,2.72,UP,10.64,0.1150,other RNA
AT4G36660,,1.17,DOWN,10.01,1,uncharacterized protein
AT4G36670,,1.73,UP,13.71,0.3681,putative polyol transporter 6
AT4G36690,ATU2AF65A,2.03,UP,16.28,0.0230,Splicing factor U2af large subunit A
AT4G36730,GBF1,1.38,UP,9.37,0.7261,G-box binding factor 1
AT4G36750,,2.02,DOWN,23.94,0.0987,Quinone reductase family protein
AT4G36760,ATAPP1,1.03,DOWN,7.72,1,aminopeptidase P1
AT4G36780,BEH2,1.45,UP,15.72,0.3708,BES1/BZR1-like protein 2
AT4G36800,RCE1,1.79,DOWN,26.78,0.1110,NEDD8-conjugating enzyme Ubc12
AT4G36810,GGPS1,1.10,DOWN,35.51,1,geranylgeranyl pyrophosphate synthase 11
AT4G36850,,2.00,DOWN,16.82,0.2106,PQ-loop repeat family protein / transmembrane family protein
AT4G36900,RAP2.10,1.11,DOWN,12.50,1,ethylene-responsive transcription factor RAP2-10
AT4G36970,,1.71,UP,6.28,0.6149,Remorin family protein
AT4G36980,,11.60,UP,11.33,0.0207,splicing factor; arginine/serine-rich 16
AT4G36988,HSF4,1.18,UP,17.02,0.8852,uncharacerized protein
AT4G37000,ATRCCR,2.51,DOWN,13.79,0.3426,red chlorophyll catabolite reductase
AT4G37040,MAP1D,1.38,DOWN,17.38,0.5968,methionine aminopeptidase 1D
AT4G37070,AtPLAIVA,1.06,DOWN,8.59,1,patatin-like protein
AT4G37120,SMP2,2.72,UP,11.52,0.1116,Pre-mRNA-splicing factor SLU7-B
AT4G37180,,5.57,UP,8.83,0.1143,myb family transcription factor
AT4G37200,HCF164,1.10,DOWN,45.67,1,thioredoxin-like protein HCF164
AT4G37260,MYB73,1.19,UP,20.12,0.8999,myb domain protein 73
AT4G37270,HMA1,1.28,UP,7.16,0.7266,putative cadmium/zinc-transporting ATPase HMA1
AT4G37280,,20.48,UP,6.73,0.5568,mortality factor 4-like protein 1
AT4G37300,MEE59,1.04,UP,104.04,1,protein maternal effect embryo arrest 59
AT4G37310,CYP81H1,1.15,DOWN,7.89,1,cytochrome P450; family 81; subfamily H; polypeptide 1
AT4G37330,CYP81D4,1.31,UP,8.80,0.8673,cytochrome P450; family 81; subfamily D; polypeptide 4
AT4G37410,CYP81F4,2.76,DOWN,60.03,0.0009,cytochrome P450; family 81; subfamily F; polypeptide 4
AT4G37450,AGP18,1.61,DOWN,28.43,0.3354,Lysine-rich arabinogalactan protein 18
AT4G37460,SRFR1,3.92,UP,5.11,0.0687,suppressor of RPS4-RLD 1 / tetratricopeptide repeat domain-containing protein
AT4G37470,,1.14,UP,15.00,1,hydrolase; alpha/beta fold family protein
AT4G37510,,2.09,DOWN,18.91,0.0497,Ribonuclease III family protein
AT4G37540,LBD39,2.12,DOWN,24.32,0.1515,LOB domain-containing protein 39
AT4G37553,,16.59,UP,9.53,0.3762,Potential natural antisense gene; locus overlaps with AT4G37550 and AT4G37560
AT4G37610,BT5,1.26,DOWN,7.24,1,BTB and TAZ domain protein 5
AT4G37680,HHP4,7.85,DOWN,5.36,0.5613,heptahelical protein 4
AT4G37760,SQE3,1.23,DOWN,11.16,0.7994,squalene epoxidase 3
AT4G37790,HAT22,1.25,DOWN,9.26,1,homeobox-leucine zipper protein HAT22
AT4G37800,XTH7,2.54,DOWN,249.53,0.0009,xyloglucan:xyloglucosyl transferase
AT4G37830,,1.54,DOWN,136.85,0.1313,cytochrome c oxidase subunit VIa
AT4G37870,PEPCK,1.67,DOWN,29.23,0.0069,phosphoenolpyruvate carboxykinase
AT4G37910,mtHsc70-1,1.28,DOWN,13.43,0.5568,molecular chaperone DnaK
AT4G37925,NDH-M,2.01,UP,17.50,0.2535,NAD(P)H-quinone oxidoreductase subunit M
AT4G37930,STM,1.88,UP,179.64,0.0009,glycine hydroxymethyltransferase
AT4G37980,CAD7,3.47,DOWN,21.53,0.0051,cinnamyl alcohol dehydrogenase 7
